,user_id,business_id,stars
146220,VHNFsnAvK9WGK1qkmm-9jQ,I4Nr-MVc26qWr08-S3Q1ow,2.0
193110,pvfD9IlV6PDJeA7dKdRDUA,ufA5ebLmVAqCuhMrApaONg,5.0
237052,IVo_5i_pBbQGnlmkvKRk-g,YkOCo5ipV2he2WXIAlZb-A,5.0
47545,LldI-DgOfmK9MDD6vuaW5Q,YOD9dXrnpu8HTRILpF0onw,5.0
80477,6DEqUrRhsfjX3rA0yu0akg,-5L8zOxibac-vBrsYtxXbQ,4.0
233884,LrbvGKEH0XMBxJHXFW5THg,X91rjC4EkH_3ZGY3ciIs8Q,5.0
157456,I4-FC6JpgI12BZlanvNv4g,VGRn5KgYKMkqdIKtBUzQQA,2.0
63547,J0wzD9Jp8_7rWa14opubMA,uUq0bMEjt202bMbRHkIcNA,5.0
119245,GL0o95jlTawH53za2DRKNQ,Ku_qQVoMA02kFZiu55_UwA,4.0
110040,ChaSfqm3RD6oSXKe42dtMQ,CYbrDESVuf8wpxRbxgBMJg,4.0
142927,BkbHp0p9bGMxdVp7ZOB7Hw,67Pa_CtXthgJzXfY8JzLDQ,5.0
138673,iQzAYpWUoFHtYsHL6NHYCw,6TSpAuUdmo2UEn9emgd8xg,3.0
102884,K2aU__rbYjj3Q-71BtR71g,NQtf94_0pNCBvcNTQESpOw,5.0
79128,RYySU--kP4M21C-PPnTQuQ,zXvtouoaOsL0Bp0udugAjQ,1.0
10749,XP-FLX7_KKxGEwADulSOvQ,ivgKHakMYMpsV1RIjQruOQ,4.0
9988,Hmza23-FIqoumjpiErjWDg,w1fJzm0ladnhvT7Jc0MJ6w,5.0
63117,AFuWOLBTuoMZ-mQiHiZIzg,MohTx0z3LnzAnr0bIsstHQ,2.0
129916,P4gPkP8uMXq7Zr5PoGTnAA,cxaMso5tqJ5KMCM-JgUbKg,5.0
3039,QyZ7ppQUYOoAiE7AW31llA,u-SvRRAfYgpbXZRfQgcTzA,3.0
228120,ViQbCkFca03hxsMwp1D0Vg,7aOaX7QASqa8ab8eAx8TEA,4.0
191047,NCvPJGv4Zgqo7up5-Xo18w,ad0LjmuXhUGBxTSkve5LZA,5.0
27981,27bZN7FPwrkUYIDCLxCKRQ,TKaND6oV1n2ylnCYoAfoag,4.0
16795,7UOGJUyi33IgURfRawe1Yw,rS39YnrhoXmPqHLzCBjeqw,4.0
62624,lTlAN7WXq6hEdzBiSYxknQ,XMMLRvV4IMxIGyc4H37LxA,2.0
102594,sTO6lo2n4zFTBVsMA8So-w,wctvZYbHAo8jufqAFQ457g,5.0
88041,acyP-Ya5AJToH0pGLuiKDg,yiKd42V_SoI_08DL62twDQ,5.0
139731,Dd6ElS2Cng3Qag_h4IQC-Q,bGoGHSWHvhftHMWWxQXYbw,4.0
16990,_QOu7xKks0zclBYJ5OJ2pw,YQ7aMHR1jYu9vtH5hGVoVQ,3.0
70635,cw-IYLNi8MKV5wMwKQKWbA,1c_jEfvQBPXZ5YUaAMYJrQ,1.0
177798,3Y-T6AW5Ea0TbQZPSGtG6A,sb5Y5ECN7kEODrBk67dbrQ,4.0
199382,sUrLgXWNV298B4rlXxHOCg,LgvgD8JllzVmIdme4OP7Eg,4.0
172375,dhluyvPe4RhY93IAJELSKw,DXCho3TSX6qKsRoEjGoGJg,5.0
1447,qr4FJMmbHEsfEtbWMAcduw,7JWWeXqil03Ua_wV9KN8ZQ,4.0
122284,l6idZ4ZfIy3SM5sK6Ui94w,q4TSv7LWvUYTuZxy3-Tu4Q,4.0
187314,btEdHVxH9lplTWWK1U3WhQ,xM85pGuYSvLTUEfm3Nm5uA,4.0
44118,L4qJbGNBCo2567HHLcsUXA,Rg43a31sV7gNLZMjy-ZdCg,4.0
153958,N8mRBhFPPRfaasArVlws4A,DyCv2ubxeygyOUWJ4lnewg,5.0
107853,AxTwstFA9WlQ2KBfLp0fGw,ADgacmZ-qXrSOhMfU6bmTA,1.0
114951,7Nv5bSCJJh_fmcJvffqypA,9Q9nXYkov-tCTOEhWJTgSg,2.0
233789,Kb-kFHW1NBwsN1p8_ppwkg,fN7ds9Dk4IfMsh4RT9x82w,5.0
196355,HdKftYfNunl1KL6Ooagz3g,rIcEm0o8Xk413HWD4-f2QA,4.0
125484,lupZL5OWZbd5ImKxIoO7hg,qlPyuJ77Znjh30I2kTs1xQ,4.0
159526,9pO3U2u7nCr0WpyVYgLpJg,heTUR_TGWJ9iYiiEWnikXg,4.0
28847,er2ie5M-OmCZbWlrF7GFXQ,JALVUxCfmv33jPhO7fLNHQ,3.0
76308,zm6mIe3eIFWkoCEORWZK-A,mPKgBVRNkdeZ2-SaXi6uKA,5.0
217227,goAfmRNmUjdXjIB_yI-3Cg,eBeTO_2kXxa6UDjvIGAM2g,5.0
166161,3sQHA7CxJl9XUK-HRT2T5A,ATGZLAWudXt5hQXQ1AVGDQ,5.0
245976,3bT9ij8RgcqTGNaGaj6lcQ,iiIXOU0L-KUCjuNES2e6Cw,5.0
8378,v0XuC8muX1Wfls9OuOtIDQ,uO_OX2DXmzo2c72YpbXe1A,5.0
105046,anyWjahz_wk9PyVJS8o3ZA,aPlGRDxKaA6JkE5mY66g0w,3.0
234809,KGoyqSU3j4y6qs9b466tVg,CYbrDESVuf8wpxRbxgBMJg,5.0
